"food","intake","energy","protein","fat","carbs","sugar","alcohol","ghge","intake_mean","intake_lwr","intake_upr"
"Bread",175.4,10.696,0.091,0.03,0.441,0.002,0,0.001,188.318660081598,18.8318660081598,407.773244578055
"Cheese",43.4,13.502,0.217,0.242,0.048,0.002,0,0.01,46.5965213656861,4.65965213656861,122.396392527378
"Eggs",24.6,6.179,0.13,0.106,0.004,0,0,0.002,26.411853124329,2.6411853124329,101.996993772815
"Fish",69.5,6.086,0.17,0.075,0.024,0.006,0,0.003,74.6188533390595,7.46188533390595,267.876315224393
"Fruit, berries",171.5,2.729,0.008,0.004,0.134,0.029,0,0.001,184.131415074082,18.4131415074082,480.137427528452
"Milk, yoghurt",306.1,1.98,0.036,0.011,0.056,0.01,0,0.001,328.645050461671,32.8645050461671,966.287309426669
"Potatoes",67.8,3.791,0.021,0.007,0.178,0,0,0,72.7936439768091,7.27936439768091,218.48829718703
"Red meat",117.6,8.342,0.173,0.139,0.014,0,0,0.013,122.503757783981,12.2503757783981,328.752415718274
"Sugar, sweets",16.9,17.988,0.053,0.178,0.609,0.444,0,0.004,18.1447283659008,1.81447283659008,69.7874167919261
"Vegetables",154.6,1.565,0.015,0.008,0.05,0.005,0,0.001,165.986686708181,16.5986686708181,365.041872450075
